2015-02-15,14:00-16:00,賀耀華,運用巨量資料於社群行銷:以痞客邦PIXinsight為例,呂承諭 博士
2015-08-22,14:00-16:00,葉梅珍,Financial Report Analysis for Risk Prediction,蔡銘峰教授
2015-09-19,14:00-16:00,葉梅珍,漫談音樂與資訊科學,蘇黎博士
2015-12-15,14:00-16:00,賀耀華,創意思考的啟發,羅有隆 教授
